intent,text,意图描述,是否新增
send_message,好的好的，你发发发短信我看看啊,发短信,
send_message,好的好的，你发给我信息，我看看好吧,发短信,
send_message,发过来有空操作呗,发短信,
send_message,你先发过来，我等一下，我有空有空的时候,发短信,
send_message,嗯，好吧，我看一下,发短信,
send_message,行，我看看我再关注一下子,发短信,
send_message,哦，我可以看一下,发短信,
send_message,行行，你发过来吧,发短信,
add_wechat,你加我好了,你的手机号/加微信,
add_wechat,添加一下你,你的手机号/加微信,
send_message,行，你发吧,发短信,
send_message,好，你发过来我看看啊,发短信,
send_message,行，你发过来，我看看再说,发短信,
send_message,可以可以，你发一个链接给我看看,发短信,
send_message,行行，你给我发一个短信，我看看我先了解,发短信,
send_message,行，好，你们再发过来看看吧，再说吧,发短信,
send_message,行啊，你发个邮件,发短信,
ask_fee,呃，我问一下，像每个月就是每个月都只交一元钱就行了,询问费用,
ask_fee,就是我需要支付,询问费用,
insurance_ask_fee,保险怎么收费,保费报价,
no_impression,没印象,没印象,
peer,我就卖保险,同行,
peer,咱们是同行,同行,
peer,我就做保险,同行,
peer,咱俩同行,同行,
have_bought,买了买了,已经购买,
have_bought,买好了,已经购买,
have_bought,下单了,已经购买,
question_flagged,好几十诈骗,质疑被标记,
question_flagged,好几千诈骗,质疑被标记,
question_flagged,好几万诈骗,质疑被标记,
insurance_ask_fee,你这个保险每个月多少钱,保费报价,
insurance_ask_fee,保费多少,保费报价,
insurance_ask_fee,保费怎么算,保费报价,
insurance_ask_fee,每个月保险费多少钱,保费报价,
insurance_ask_fee,保费要不要增加,保费报价,
affirm,可以，怎么你说,同意，确认,
interrupt,你先听我说,打断,
ask_where,去哪领,在哪里看申请,
how_operate,怎么买,操作流程/怎么操作,
ask_have_phone,哪里弄得号码,为什么有手机号,
Company_address,公司在什么位置,公司地址,
Company_address,地址是什么,公司地址,
Company_address,地址是啥,公司地址,
Customer_service_name,美女叫什么,客服名字,
Customer_service_name,美女怎么称呼,客服名字,
send_message,我在外面，你可以先发过来，我等下看,发短信,
send_message,我在上班呢，你发吧，好了,发短信,
affirm,晚上弄,同意，确认,
affirm,晚上回家弄,同意，确认,
affirm,一会儿操作,同意，确认,
affirm,等下操作,同意，确认,
affirm,等会儿操作,同意，确认,
send_message,等会儿吧，你发吧,发短信,
need_consider,等等在买,犹豫，考虑,
interrupt,你等一下,打断,
crank,烦不烦,骚扰,
crank,别打给我,骚扰,
crank,别给我打电话,拒绝，否认,
question_flagged,标记骚扰电话,质疑被标记,
question_flagged,显示骚扰电话,质疑被标记,
question_flagged,好几十骚扰,质疑被标记,
question_flagged,好几百骚扰,质疑被标记,
question_flagged,好几千骚扰,质疑被标记,
question_flagged,好几万骚扰,质疑被标记,
question_flagged,好多骚扰,质疑被标记,
complaint,投诉你们,投诉,
complaint,再打投诉,投诉,
complaint,烦死了，投诉,投诉,
complaint,投诉你老板,投诉,
bad_response,瓜娃子,辱骂,
bad_response,鸡毛,辱骂,
bad_response,深井冰,辱骂,
crank,不要给我打电话,骚扰,
crank,不要打电话,骚扰,
crank,烦死了,骚扰,
insurance_policy_surrendered,我退了,拒绝，否认,
insurance_cancel,我退掉,拒绝，否认,
insurance_cancel,我退保,拒绝，否认,
insurance_cancel,想退出,拒绝，否认,
insurance_cancel,想退保,拒绝，否认,
insurance_policy_surrendered,已经退保了,拒绝，否认,
refuse,不办了,拒绝，否认,
refuse,不打算买了,拒绝，否认,
refuse,别发别给我发了,拒绝，否认,
need_consider,我先看看再说吧,同意，确认,
send_message,可以发来看一看吧,同意，确认,
send_message,你发吧，好,同意，确认,
affirm,好的，我知道了，嗯，发过来吧嗯,同意，确认,
send_message,你发嘛,发短信,
send_message,嗯，你发吧,发短信,
send_message,什么时候你给我发过来吧，我知道了,发短信,
send_message,那就发吧,发短信,
send_message,哎，他是还给我，我现在申请下,发短信,
send_message,嗯，我现在有点忙，你先发过来,发短信,
send_message,你发嘛，发了再说嘛,发短信,
affirm,好的，你说,同意，确认,
affirm,可以尝试,同意，确认,
affirm,可以说吧,同意，确认,
add_wechat,好的好的，那你你那个微信我怎么加,同意，确认,
affirm,可以已经操作完毕,同意，确认,
way_to_pay,可以，它不是自动扣款吗？,同意，确认,
send_message,你给我发过来，先看看,同意，确认,
affirm,听一下,同意，确认,
send_message,你发呗,同意，确认,
affirm,记着呢,同意，确认,
affirm,记得,同意，确认,
affirm,发到我,同意，确认,
affirm,等等操作,同意，确认,
send_message,发给我,同意，确认,
affirm,刚才提交了,同意，确认,
affirm,你说吧,同意，确认,
affirm,回去支付,同意，确认,
affirm,领什么呢,同意，确认,
affirm,用过啊,同意，确认,
affirm,我明白明白阿,同意，确认,
normal_response,哦，哦哦,同意，确认,
affirm,明白明白，我就是看明白了才投的,同意，确认,
affirm,我再试试,同意，确认,
ask_where,在哪里领取,在哪里看申请,
ask_where,哪领,在哪里看申请,
ask_where,怎么领取,在哪里看申请,
add_wechat,好的，我那个你这个号就是微信号码,你的手机号/加微信,
add_wechat,好的，你加我的微信吧,你的手机号/加微信,
